asin,product,data_date,ordered_units,average_sales_price,rep_oos,lbb_price
B07T1CH2HH,COSORI,2020-04-22,96,69.99,1.00,
B07W67NQMN,COSORI,2020-04-22,34,190.01,0.13,0.13
B07NL1L4SL,COSORI,2020-04-22,34,125.24,0.11,0.12
B07T2LGN8P,COSORI,2020-04-22,27,131.48,0.02,0.00
B07GJJ71XS,COSORI,2020-04-22,39,86.67,0.11,0.15
B07YBB5SKG,COSORI,2020-04-22,37,89.99,0.00,0.00
B074NYJL9J,COSORI,2020-04-22,61,29.99,0.01,0.00
B07MPC7C8G,COSORI,2020-04-22,29,59.99,0.01,0.00
B07WBSVH33,COSORI,2020-04-22,14,85.24,0.00,0.17
B07W2YX8LJ,COSORI,2020-04-22,29,39.99,0.00,0.00
B081LQMXKP,COSORI,2020-04-22,15,69.99,0.00,0.00
B07T1BCN91,COSORI,2020-04-22,26,39.99,0.01,0.00
B07T2LCKNF,COSORI,2020-04-22,7,129.24,0.00,0.91
B07Y2D726R,COSORI,2020-04-22,9,99.99,0.00,0.00
B07VXVFKWV,COSORI,2020-04-22,22,39.99,0.01,0.00
B07FKN76ZS,COSORI,2020-04-22,24,35.45,0.01,0.66
B083JBM9CZ,COSORI,2020-04-22,33,19.38,0.00,
B07SKJV5KV,COSORI,2020-04-22,6,105.25,0.06,0.22
B06VV9M11N,COSORI,2020-04-22,7,49.34,0.02,0.00
B07YL6QWLK,COSORI,2020-04-22,2,162.88,0.00,0.15
B07RK39DR5,COSORI,2020-04-22,4,69.99,0.00,0.00
B07414FZLW,COSORI,2020-04-22,3,79.99,0.00,0.00
B07XS37FPV,COSORI,2020-04-22,2,105.25,0.00,0.22
B07WYYRZK7,COSORI,2020-04-22,21,9.99,0.00,0.00
B06VV98P69,COSORI,2020-04-22,2,69.99,0.00,0.00
B07QHSZGXC,COSORI,2020-04-22,4,31.99,0.01,0.89
B07T4HX1LH,COSORI,2020-04-22,1,107.55,0.00,0.94
B07VNPQ2NF,COSORI,2020-04-22,1,99.99,0.00,0.00
B07RWPQ9TM,COSORI,2020-04-22,1,99.99,0.00,0.00
B07415MDCH,COSORI,2020-04-22,1,99.99,0.00,0.00
B076DZJSHL,COSORI,2020-04-22,1,59.99,0.01,0.00
B07X2JP8HP,COSORI,2020-04-22,6,8.99,0.00,0.00
B07WZF33ZT,COSORI,2020-04-22,6,8.99,0.00,0.00
B07LCW5S2H,COSORI,2020-04-22,1,29.99,0.06,0.19
B081NLFM91,COSORI,2020-04-22,0,,,
B07VXQMR7G,COSORI,2020-04-22,0,,,
B07VLKMMJ5,COSORI,2020-04-22,0,,,
B07MPBCKGT,COSORI,2020-04-22,0,,,
B075GHGJQ7,COSORI,2020-04-22,0,,,
B071D7BTTW,COSORI,2020-04-22,0,,,
B071CXV2ZY,COSORI,2020-04-22,0,,,
B07GJBBGHG,COSORI,2020-04-21,690,99.63,0.02,0.00
B07PY5M579,COSORI,2020-04-21,96,159.99,0.00,0.00
B07W67NQMN,COSORI,2020-04-21,49,199.32,0.03,0.03
B07T1CH2HH,COSORI,2020-04-21,91,69.99,1.00,
B07VLKMMJ5,COSORI,2020-04-21,47,115.62,0.22,0.75
B07T2LCKNF,COSORI,2020-04-21,38,129.99,0.00,0.00
B07T2LGN8P,COSORI,2020-04-21,36,130.82,0.02,0.00
B07GJJ71XS,COSORI,2020-04-21,53,84.99,0.01,0.00
B07NL1L4SL,COSORI,2020-04-21,30,129.99,0.01,0.00
B07YBB5SKG,COSORI,2020-04-21,33,89.99,0.00,0.00
B07YL6QWLK,COSORI,2020-04-21,13,169.63,0.00,0.05
B07MPC7C8G,COSORI,2020-04-21,28,59.99,0.00,0.00
B074NYJL9J,COSORI,2020-04-21,55,29.99,0.01,0.00
B07QHSZGXC,COSORI,2020-04-21,51,31.99,0.01,0.00
B081LQMXKP,COSORI,2020-04-21,22,69.99,0.00,0.00
B07W2YX8LJ,COSORI,2020-04-21,32,39.99,0.00,0.00
B07VXVFKWV,COSORI,2020-04-21,28,39.99,0.01,0.00
B07FKN76ZS,COSORI,2020-04-21,26,35.29,0.02,0.91
B07WBSVH33,COSORI,2020-04-21,10,89.99,0.00,0.00
B07T4HX1LH,COSORI,2020-04-21,7,109.99,0.01,0.00
B07Y2D726R,COSORI,2020-04-21,7,99.99,0.00,0.00
B07T1BCN91,COSORI,2020-04-21,16,37.49,0.01,0.00
B083JBM9CZ,COSORI,2020-04-21,29,19.99,0.00,
B07414FZLW,COSORI,2020-04-21,7,79.99,0.00,0.00
B07SKJV5KV,COSORI,2020-04-21,3,109.99,0.02,0.00
B07XS37FPV,COSORI,2020-04-21,2,109.99,0.00,0.00
B076DZJSHL,COSORI,2020-04-21,3,58.02,0.00,0.00
B07LCW5S2H,COSORI,2020-04-21,5,29.99,0.01,0.00
B07RK39DR5,COSORI,2020-04-21,2,69.99,0.00,0.00
B071D7BTTW,COSORI,2020-04-21,1,128.74,0.00,0.00
B07VXQMR7G,COSORI,2020-04-21,4,29.99,0.03,0.00
B075GHGJQ7,COSORI,2020-04-21,1,109.68,0.00,0.00
B07VNPQ2NF,COSORI,2020-04-21,1,99.99,0.09,0.00
B081NLFM91,COSORI,2020-04-21,1,69.99,0.00,0.00
B06VV98P69,COSORI,2020-04-21,1,69.99,0.00,0.00
B07WYYRZK7,COSORI,2020-04-21,7,9.99,0.00,0.00
