,asin,data_date,ordered_units
0,B071D7BTTW,2019-12-02,23
1,B071D7BTTW,2019-12-03,3
2,B071D7BTTW,2019-12-04,3
3,B071D7BTTW,2019-12-05,4
4,B071D7BTTW,2019-12-06,8
5,B071D7BTTW,2019-12-07,6
6,B071D7BTTW,2019-12-08,3
7,B071D7BTTW,2019-12-09,1
8,B071D7BTTW,2019-12-10,5
9,B071D7BTTW,2019-12-11,0
10,B071D7BTTW,2019-12-12,1
11,B071D7BTTW,2019-12-13,0
12,B071D7BTTW,2019-12-14,0
13,B071D7BTTW,2019-12-15,2
14,B071D7BTTW,2019-12-16,1
15,B071D7BTTW,2019-12-17,2
16,B071D7BTTW,2019-12-18,3
17,B071D7BTTW,2019-12-19,0
18,B071D7BTTW,2019-12-20,0
19,B071D7BTTW,2019-12-21,0
20,B071D7BTTW,2019-12-22,0
21,B071D7BTTW,2019-12-23,0
22,B071D7BTTW,2019-12-24,0
23,B071D7BTTW,2019-12-25,0
24,B071D7BTTW,2019-12-26,0
25,B071D7BTTW,2019-12-27,0
26,B071D7BTTW,2019-12-28,1
27,B071D7BTTW,2019-12-29,0
28,B071D7BTTW,2019-12-30,0
29,B071D7BTTW,2019-12-31,3
30,B071D7BTTW,2020-01-01,2
31,B071D7BTTW,2020-01-02,2
32,B071D7BTTW,2020-01-03,1
33,B071D7BTTW,2020-01-04,2
34,B071D7BTTW,2020-01-05,1
35,B071D7BTTW,2020-01-06,1
36,B071D7BTTW,2020-01-07,1
37,B071D7BTTW,2020-01-08,0
38,B071D7BTTW,2020-01-09,1
39,B071D7BTTW,2020-01-10,1
40,B071D7BTTW,2020-01-11,0
41,B071D7BTTW,2020-01-12,1
42,B071D7BTTW,2020-01-13,0
43,B071D7BTTW,2020-01-14,0
44,B071D7BTTW,2020-01-15,1
45,B071D7BTTW,2020-01-16,1
46,B071D7BTTW,2020-01-17,2
47,B071D7BTTW,2020-01-18,0
48,B071D7BTTW,2020-01-19,3
49,B071D7BTTW,2020-01-20,0
50,B071D7BTTW,2020-01-21,0
51,B071D7BTTW,2020-01-22,1
52,B071D7BTTW,2020-01-23,1
53,B071D7BTTW,2020-01-24,1
54,B071D7BTTW,2020-01-25,2
55,B071D7BTTW,2020-01-26,2
56,B071D7BTTW,2020-01-27,0
57,B071D7BTTW,2020-01-28,3
58,B071D7BTTW,2020-01-29,0
59,B071D7BTTW,2020-01-30,0
60,B071D7BTTW,2020-01-31,0
61,B071D7BTTW,2020-02-01,3
62,B071D7BTTW,2020-02-02,2
63,B071D7BTTW,2020-02-03,1
64,B071D7BTTW,2020-02-04,4
65,B071D7BTTW,2020-02-05,1
66,B071D7BTTW,2020-02-06,2
67,B071D7BTTW,2020-02-07,2
68,B071D7BTTW,2020-02-08,2
69,B071D7BTTW,2020-02-09,2
70,B071D7BTTW,2020-02-10,1
71,B071D7BTTW,2020-02-11,4
72,B071D7BTTW,2020-02-12,0
73,B071D7BTTW,2020-02-13,0
74,B071D7BTTW,2020-02-14,1
75,B071D7BTTW,2020-02-15,4
76,B071D7BTTW,2020-02-16,1
77,B071D7BTTW,2020-02-17,8
78,B071D7BTTW,2020-02-18,2
79,B071D7BTTW,2020-02-19,1
80,B071D7BTTW,2020-02-20,1
81,B071D7BTTW,2020-02-21,2
82,B071D7BTTW,2020-02-22,3
83,B071D7BTTW,2020-02-23,2
84,B071D7BTTW,2020-02-24,0
85,B071D7BTTW,2020-02-25,6
86,B071D7BTTW,2020-02-26,2
87,B071D7BTTW,2020-02-27,4
88,B071D7BTTW,2020-02-28,4
89,B071D7BTTW,2020-02-29,2
90,B071D7BTTW,2020-03-01,2
91,B071D7BTTW,2020-03-02,8
92,B071D7BTTW,2020-03-03,3
93,B071D7BTTW,2020-03-04,5
94,B071D7BTTW,2020-03-05,3
95,B071D7BTTW,2020-03-06,2
96,B071D7BTTW,2020-03-07,1
97,B071D7BTTW,2020-03-08,3
98,B071D7BTTW,2020-03-09,0
99,B071D7BTTW,2020-03-10,1
100,B071D7BTTW,2020-03-11,2
101,B071D7BTTW,2020-03-12,1
102,B071D7BTTW,2020-03-13,1
103,B071D7BTTW,2020-03-14,0
104,B071D7BTTW,2020-03-15,0
105,B071D7BTTW,2020-03-16,0
106,B071D7BTTW,2020-03-17,0
107,B071D7BTTW,2020-03-18,1
108,B071D7BTTW,2020-03-19,0
109,B071D7BTTW,2020-03-20,1
110,B071D7BTTW,2020-03-21,1
111,B071D7BTTW,2020-03-22,0
112,B071D7BTTW,2020-03-23,0
113,B071D7BTTW,2020-03-24,0
114,B071D7BTTW,2020-03-25,2
115,B071D7BTTW,2020-03-26,0
116,B071D7BTTW,2020-03-27,0
117,B071D7BTTW,2020-03-28,0
118,B071D7BTTW,2020-03-29,1
119,B071D7BTTW,2020-03-30,0
120,B071D7BTTW,2020-03-31,1
121,B071D7BTTW,2020-04-01,0
122,B071D7BTTW,2020-04-02,0
123,B071D7BTTW,2020-04-03,0
124,B071D7BTTW,2020-04-04,1
125,B071D7BTTW,2020-04-05,2
126,B071D7BTTW,2020-04-06,0
127,B071D7BTTW,2020-04-07,0
128,B071D7BTTW,2020-04-08,2
129,B071D7BTTW,2020-04-09,0
130,B071D7BTTW,2020-04-10,2
131,B071D7BTTW,2020-04-11,1
132,B071D7BTTW,2020-04-12,0
133,B071D7BTTW,2020-04-13,0
134,B071D7BTTW,2020-04-14,1
135,B071D7BTTW,2020-04-15,0
136,B071D7BTTW,2020-04-16,2
137,B071D7BTTW,2020-04-17,0
138,B071D7BTTW,2020-04-18,0
139,B071D7BTTW,2020-04-19,2
140,B071D7BTTW,2020-04-20,0
141,B071D7BTTW,2020-04-21,1
142,B071D7BTTW,2020-04-22,0
143,B071D7BTTW,2020-04-23,1
144,B071D7BTTW,2020-04-24,1
145,B071D7BTTW,2020-04-25,1
146,B071D7BTTW,2020-04-26,2
147,B071D7BTTW,2020-04-27,1
148,B071D7BTTW,2020-04-28,2
149,B071D7BTTW,2020-04-29,0
150,B071D7BTTW,2020-04-30,4
151,B071D7BTTW,2020-05-01,0
152,B071D7BTTW,2020-05-02,0
153,B071D7BTTW,2020-05-03,2
154,B071D7BTTW,2020-05-04,1
155,B071D7BTTW,2020-05-05,3
156,B071D7BTTW,2020-05-06,3
157,B071D7BTTW,2020-05-07,0
158,B071D7BTTW,2020-05-08,1
159,B071D7BTTW,2020-05-09,1
160,B071D7BTTW,2020-05-10,0
161,B071D7BTTW,2020-05-11,1
162,B071D7BTTW,2020-05-12,2
163,B071D7BTTW,2020-05-13,1
164,B071D7BTTW,2020-05-14,2
165,B071D7BTTW,2020-05-15,0
166,B071D7BTTW,2020-05-16,2
167,B071D7BTTW,2020-05-17,0
168,B071D7BTTW,2020-05-18,3
169,B071D7BTTW,2020-05-19,2
170,B071D7BTTW,2020-05-20,2
171,B071D7BTTW,2020-05-21,2
172,B071D7BTTW,2020-05-22,0
173,B071D7BTTW,2020-05-23,2
174,B071D7BTTW,2020-05-24,3
175,B071D7BTTW,2020-05-25,2
176,B071D7BTTW,2020-05-26,0
177,B071D7BTTW,2020-05-27,0
178,B071D7BTTW,2020-05-28,2
179,B071D7BTTW,2020-05-29,1
180,B071D7BTTW,2020-05-30,5
181,B071D7BTTW,2020-05-31,2
182,B071D7BTTW,2020-06-01,1
183,B071D7BTTW,2020-06-02,2
184,B071D7BTTW,2020-06-03,3
185,B071D7BTTW,2020-06-04,2
186,B071D7BTTW,2020-06-05,1
187,B071D7BTTW,2020-06-06,1
188,B071D7BTTW,2020-06-07,1
189,B071D7BTTW,2020-06-08,1
190,B071D7BTTW,2020-06-09,2
191,B071D7BTTW,2020-06-10,0
192,B071D7BTTW,2020-06-11,1
193,B071D7BTTW,2020-06-12,4
194,B071D7BTTW,2020-06-13,3
195,B071D7BTTW,2020-06-14,2
196,B071D7BTTW,2020-06-15,0
197,B071D7BTTW,2020-06-16,3
198,B071D7BTTW,2020-06-17,3
199,B071D7BTTW,2020-06-18,4
200,B071D7BTTW,2020-06-19,2
201,B071D7BTTW,2020-06-20,3
202,B071D7BTTW,2020-06-21,1
203,B071D7BTTW,2020-06-22,5
204,B071D7BTTW,2020-06-23,2
205,B071D7BTTW,2020-06-24,0
206,B071D7BTTW,2020-06-25,1
207,B071D7BTTW,2020-06-26,1
208,B071D7BTTW,2020-06-27,1
209,B071D7BTTW,2020-06-28,1
210,B071D7BTTW,2020-06-29,0
211,B071D7BTTW,2020-06-30,1
212,B071D7BTTW,2020-07-01,2
213,B071D7BTTW,2020-07-02,1
214,B071D7BTTW,2020-07-03,0
215,B071D7BTTW,2020-07-04,0
216,B071D7BTTW,2020-07-05,3
217,B071D7BTTW,2020-07-06,1
218,B071D7BTTW,2020-07-07,1
219,B071D7BTTW,2020-07-08,1
220,B071D7BTTW,2020-07-09,4
221,B071D7BTTW,2020-07-10,2
222,B071D7BTTW,2020-07-11,2
223,B071D7BTTW,2020-07-12,1
224,B071D7BTTW,2020-07-13,10
225,B071D7BTTW,2020-07-14,3
226,B071D7BTTW,2020-07-15,0
227,B071D7BTTW,2020-07-16,0
228,B071D7BTTW,2020-07-17,0
229,B071D7BTTW,2020-07-18,2
230,B071D7BTTW,2020-07-19,4
231,B071D7BTTW,2020-07-20,0
232,B071D7BTTW,2020-07-21,2
233,B071D7BTTW,2020-07-22,0
234,B071D7BTTW,2020-07-23,3
235,B071D7BTTW,2020-07-24,1
236,B071D7BTTW,2020-07-25,1
237,B071D7BTTW,2020-07-26,0
238,B071D7BTTW,2020-07-27,0
239,B071D7BTTW,2020-07-28,0
240,B071D7BTTW,2020-07-29,1
241,B071D7BTTW,2020-07-30,0
242,B071D7BTTW,2020-07-31,0
243,B071D7BTTW,2020-08-01,0
244,B071D7BTTW,2020-08-02,0
245,B071D7BTTW,2020-08-03,0
246,B071D7BTTW,2020-08-04,1
247,B071D7BTTW,2020-08-05,1
248,B071D7BTTW,2020-08-06,2
249,B071D7BTTW,2020-08-07,0
250,B071D7BTTW,2020-08-08,0
251,B071D7BTTW,2020-08-09,0
252,B071D7BTTW,2020-08-10,0
253,B071D7BTTW,2020-08-11,0
254,B071D7BTTW,2020-08-12,0
